Last login: Mon Apr  4 15:33:13 on ttys000
(base) sakshamgarg@ip-192-168-1-4 migration-service % kubectl logs -f supportservice-cs-746dccb655-9pbsv -n dms
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-04-01 08:47:15 INFO     Added all jobs.
INFO:     Started server process [1]
2022-04-01 08:47:15 INFO     Started server process [1]
INFO:     Waiting for application startup.
2022-04-01 08:47:15 INFO     Waiting for application startup.
2022-04-01 08:47:15 INFO     Started the scheduler.
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Added job "migration_service_of_job" to job store "default"
2022-04-01 08:47:15 INFO     Scheduler started
INFO:     Application startup complete.
2022-04-01 08:47:15 INFO     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2022-04-01 08:47:15 INFO     Uvicorn running on http://0.0.0.0:8010 (Press CTRL+C to quit)
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
/usr/local/lib/python3.8/site-packages/pymongo/common.py:771: UserWarning: Unknown option ssl_ca_certs
  warnings.warn(str(exc))
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_forms: Connected to database and collection.
2022-04-01 19:30:00 INFO     Running job "migration_service_of_job (trigger: cron[year='*', month='*', day='*', week='*', day_of_week='*', hour='1', minute='0', second='0'], next run at: 2022-04-02 01:00:00 IST)" (scheduled at 2022-04-02 01:00:00+05:30)
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_form_items: Connected to database and collection.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_list: Connected to database and collection.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_kafka_log: Connected to database and collection.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_items: Connected to database and collection.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_tickets_rating: Connected to database and collection.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_form_items: Glad to see this database again!
2022-04-01 19:30:00 WARNING  mongo_s3_support_DMS_support_form_items: Partition_col not specified. Making partition using _id.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_form_items: Collection pre-processed.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_form_items: Starting to migrate newly inserted records.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_kafka_log: Glad to see this database again!
2022-04-01 19:30:00 WARNING  mongo_s3_support_DMS_support_kafka_log: Partition_col not specified. Making partition using _id.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_kafka_log: Collection pre-processed.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_kafka_log: Starting to migrate newly inserted records.
2022-04-01 19:30:00 INFO     mongo_s3_support_DMS_support_list: Glad to see this database again!
2022-04-01 19:30:00 WARNING  mongo_s3_support_DMS_support_list: Partition_col not specified. Making partition using _id.
